FileName,Diameter (m),Pitch (m),Path
gwsdd_5x4.3,0.127,0.109,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_5x4.3_static_0493rd.txt
gwsdd_9x5,0.229,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_9x5_static_0797rd.txt
kpf_96x70,0.096,0.07,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\kpf_96x70_static_0382rd.txt
mit_4.3x3.5,0.109,0.089,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\mit_4.3x3.5_static_0575rd.txt
mit_5x4,0.127,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\mit_5x4_static_0362rd.txt
mi_3.2x2.2,0.081,0.056,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\mi_3.2x2.2_static_0519rd.txt
mi_4x2.7,0.102,0.069,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\mi_4x2.7_static_0564rd.txt
mi_5x3.5,0.127,0.089,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\mi_5x3.5_static_0368rd.txt
pl_100x80,0.1,0.08,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\pl_100x80_static_0581rd.txt
pl_57x20,0.057,0.02,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\pl_57x20_static_0531rd.txt
vp_140x45,0.14,0.045,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\vp_140x45_static_0590rd.txt
ancf_10x12,0.254,0.305,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_10x12_static_0754od.txt
ancf_10x4,0.254,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_10x4_static_0273od.txt
ancf_10x5,0.254,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_10x5_static_0755od.txt
ancf_10x6,0.254,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_10x6_static_0729od.txt
ancf_10x7,0.254,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_10x7_static_0736od.txt
ancf_10x8,0.254,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_10x8_static_0762od.txt
ancf_11x10,0.279,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_11x10_static_0837od.txt
ancf_11x12,0.279,0.305,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_11x12_static_0904od.txt
ancf_11x4,0.279,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_11x4_static_0823od.txt
ancf_11x6,0.279,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_11x6_static_0874od.txt
ancf_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_11x7_static_0854od.txt
ancf_11x8,0.279,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_11x8_static_0846od.txt
ancf_125x6,3.175,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_125x6_static_0924od.txt
ancf_125x75,3.175,1.905,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_125x75_static_0914od.txt
ancf_125x9,3.175,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_125x9_static_0905od.txt
ancf_12x10,0.305,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_12x10_static_0720od.txt
ancf_12x13,0.305,0.33,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_12x13_static_0780od.txt
ancf_12x5,0.305,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_12x5_static_0789od.txt
ancf_12x65,0.305,1.651,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_12x65_static_0806od.txt
ancf_12x6,0.305,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_12x6_static_0721od.txt
ancf_12x8,0.305,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_12x8_static_0696od.txt
ancf_12x9,0.305,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_12x9_static_0771od.txt
ancf_13x10,0.33,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_13x10_static_0592od.txt
ancf_13x11,0.33,0.279,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_13x11_static_0814od.txt
ancf_13x5,0.33,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_13x5_static_0603od.txt
ancf_13x65,0.33,1.651,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_13x65_static_0570od.txt
ancf_13x8,0.33,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_13x8_static_0581od.txt
ancf_14x12,0.356,0.305,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_14x12_static_0958od.txt
ancf_14x6,0.356,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_14x6_static_0932od.txt
ancf_14x8,0.356,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_14x8_static_0942od.txt
ancf_14x9,0.356,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_14x9_static_0949od.txt
ancf_15x10,0.381,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_15x10_static_0982od.txt
ancf_15x6,0.381,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_15x6_static_0967od.txt
ancf_15x8,0.381,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_15x8_static_0975od.txt
ancf_16x6,0.406,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_16x6_static_0991od.txt
ancf_16x8,0.406,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_16x8_static_0997od.txt
ancf_9x4,0.229,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_9x4_static_0889od.txt
ancf_9x5,0.229,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_9x5_static_0882od.txt
ancf_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_9x6_static_0875od.txt
ancf_9x7,0.229,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V3\ancf_9x7_static_0836od.txt
